Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Discount
O24509,C4792,P0035,,5,0.7506142686948623
O17373,C0604,P0120,,3,0.6891326180734441
O06654,C2700,P0386,2023-01-02,2,0.8806034910675964
O28706,C2878,P0180,,3,0.2547901467354842
O21200,C0102,P0468,2023-01-02,6,0.9654120557493372
O00518,C2450,P0236,2023-01-02,9,0.4681174711543028
O16652,C0955,P0020,2023-01-02,3,0.0267669896017882
O25965,C1433,P0222,2023-01-02,8,0.9179183159777596
O11221,C1895,P0183,,4,0.2657749500856613
O24395,C4483,P0092,,3,0.8849359073910981
O02335,C4100,P0354,,8,0.4713879753932607
O04576,C0374,P0441,,8,0.9130343945156968
O15720,C1730,P0268,,9,0.0179764880797027
O05543,C4072,P0416,,4,0.5168530209657374
O19130,C4723,P0240,2023-01-02,3,0.4737481636738124
O03276,C2051,P0295,,1,0.0682311694399196
O22119,C1547,P0449,,4,0.5033873416173069
O06613,C2453,P0489,,3,0.3542458269920889
O07772,C2364,P0092,,9,0.3697423427155458
O10666,C4614,P0174,2023-01-02,5,0.427380326094214
O20130,C1450,P0278,,5,0.155905140839456
O18946,C3813,P0116,,4,0.9351893079505192
O05769,C4542,P0150,,5,0.2275329992065584
O28572,C1324,P0071,,3,0.1101872990854966
O13663,C3139,P0008,,3,0.6883700941955249
O17473,C0367,P0449,,1,0.8424670302979071
O22852,C0684,P0082,,4,0.8473241551743038
O22102,C2564,P0071,2023-01-02,8,0.6625179300139736
O02234,C1920,P0324,,2,0.5283349753768896
O17758,C0152,P0194,2023-01-02,1,0.0596185190466934
O06359,C1070,P0219,2023-01-02,7,0.448389151621718
O02928,C2858,P0142,,6,0.0657927528243311
O25201,C4091,P0071,,1,0.0379863873935054
O07614,C1441,P0411,,1,0.6098559204449572
O28184,C2266,P0462,,6,0.9294410871262292
O04274,C4489,P0383,,6,0.610386428113427
O24970,C0600,P0407,,4,0.3277641439576148
O04971,C0399,P0069,,7,0.7603494771256627
O08389,C1007,P0182,,1,0.2929835039028808
O21148,C0328,P0134,,4,0.6027378602341515
O02504,C4730,P0158,,4,0.9946697553615668
O28743,C4427,P0209,,4,0.6503897853114524
O28894,C4245,P0063,,1,0.8359477692158759
O17748,C1608,P0439,2023-01-02,4,0.7101573888281063
O16854,C1716,P0254,,6,0.907185073559018
O22981,C2421,P0295,,8,0.5870900108383705
O26627,C2129,P0238,2023-01-02,6,0.0402555798239278
O19338,C4728,P0034,2023-01-02,4,0.9839509046590826
O17532,C2460,P0494,2023-01-02,3,0.4379779530466797
O17013,C4712,P0034,,1,0.8406087367525998
O00774,C4261,P0073,,9,0.3494973423843703
O24935,C3146,P0457,,5,0.2654447328093929
O16311,C4562,P0147,2023-01-02,7,0.2808539834204172
O23581,C1469,P0204,2023-01-02,4,0.0392746594929739
O19283,C1174,P0266,2023-01-02,6,0.7204384474030152
O00934,C3744,P0012,2023-01-02,8,0.9551793645565532
O01986,C4208,P0022,,8,0.6879645697864072
O21380,C1941,P0073,2023-01-02,4,0.8842652037853571
O14016,C4031,P0283,2023-01-02,6,0.6459608701860249
O22926,C1397,P0400,2023-01-02,9,0.6255535523880216
O05465,C4021,P0174,,6,0.487578271659716
O29890,C0697,P0477,,5,0.7152485911903732
O28136,C3473,P0423,,9,0.5633215989720806
O09966,C4063,P0083,,9,0.5982754868279003
O01505,C4451,P0337,,8,0.861640894087119
O05363,C4334,P0222,,8,0.5418631630058588
O01010,C2680,P0321,,3,0.8019919555456589
O19861,C1429,P0158,,9,0.1131922219083181
O24125,C2161,P0049,2023-01-02,7,0.0816826191791927
O25806,C0026,P0268,2023-01-02,7,0.8065732290282839
O09864,C2227,P0255,2023-01-02,8,0.6998811063852082
O10120,C0566,P0479,,3,0.670597487342282
O11370,C1523,P0125,,5,0.7786074672111989
O02553,C3965,P0155,,1,0.5778486648033343
O04389,C2937,P0262,,3,0.2502061347557371
O11089,C0746,P0071,2023-01-02,6,0.9403480727992496
O22142,C4440,P0354,2023-01-02,9,0.7435474323737752
O25460,C3601,P0135,2023-01-02,7,0.8911585089602743
O03051,C2099,P0127,2023-01-02,5,0.5557519000848394
O16066,C4742,P0361,2023-01-02,6,0.1543756896317014
O06304,C0864,P0070,2023-01-02,6,0.4591424557862507
O01920,C0742,P0404,,6,0.5581601254144335
O13227,C4513,P0149,,2,0.7341651493102561
O07694,C3838,P0351,2023-01-02,3,0.1517215780854452
O06298,C4751,P0390,,1,0.1560797440085743
O12719,C3982,P0345,,3,0.7786097990262146
O19467,C3684,P0436,,2,0.094150039442446
O02241,C2837,P0385,2023-01-02,9,0.0773432937848698
O22150,C3428,P0185,2023-01-02,9,0.648154586115349
O13601,C2193,P0416,2023-01-02,3,0.9855623841520678
O21364,C2166,P0093,2023-01-02,8,0.2172112233253916
O03999,C0786,P0030,2023-01-02,8,0.8465406734143253
O21034,C4988,P0207,,2,0.3588854111284034
O03408,C2409,P0012,,2,0.0008990427384333
O13807,C3046,P0154,,5,0.1664995293210542
O08962,C0235,P0312,2023-01-02,4,0.6724093427335163
O16632,C3334,P0141,2023-01-02,6,0.3582028988364202
O20241,C3943,P0127,,3,0.4305936252887216
O21314,C1005,P0392,,7,0.4469722408119869
O25277,C1850,P0346,,9,0.7483777833483749
O09133,C2260,P0490,2023-01-02,7,0.6076964267271641
O28490,C4365,P0054,,3,0.4928290156768553
O08985,C2228,P0463,,3,0.974319377791864
O22293,C1288,P0399,2023-01-02,7,0.183448643679031
O01561,C1016,P0302,,7,0.9694005012780786
O08644,C4582,P0190,2023-01-02,6,0.5740218338847987
O14785,C4485,P0102,,1,0.5800078676402798
O03656,C0607,P0095,,8,0.004540104909308
O24465,C4132,P0478,,4,0.8639413214911467
O00209,C4598,P0156,2023-01-02,6,0.6425313361569651
O07141,C2964,P0428,2023-01-02,8,0.2199103531182298
O16261,C0099,P0100,,7,0.235641518375497
O21329,C3024,P0070,,1,0.0778150893510203
O24364,C0685,P0031,,9,0.7622851011361549
O03966,C1750,P0487,,9,0.6566189140538128
O10069,C3948,P0170,2023-01-02,5,0.8070399191889184
O08818,C3669,P0413,,7,0.4899688320093407
O09815,C1777,P0022,,2,0.7258037890450617
O21832,C0133,P0453,2023-01-02,4,0.9641468417711012
O29735,C4307,P0415,,3,0.0762874316419264
O16565,C0584,P0180,2023-01-02,2,0.1567514181457209
O28029,C1709,P0075,2023-01-02,5,0.4966749486696278
O07089,C3681,P0098,2023-01-02,9,0.3702970879924398
O05280,C0887,P0377,2023-01-02,2,0.465280755997302
O04244,C2995,P0056,2023-01-02,9,0.4007504239080582
O22985,C2562,P0051,,9,0.1132043683398855
