Payment_ID,Order_ID,Payment_Method,Payment_Status
PAY00001,O22447,Card,Pending
PAY00002,O25476,Cash,Failed
PAY00003,O27856,Card,Failed
PAY00004,O19202,Cash,Paid
PAY00006,O08067,Transfer,Pending
PAY00008,O21747,Cash,Paid
PAY00009,O19202,Card,Paid
PAY00010,O29129,Card,Paid
PAY00013,O13573,Card,Paid
PAY00014,O16992,Card,Failed
PAY00016,O17338,Card,Paid
PAY00017,O15712,Card,Failed
PAY00018,O29502,Cash,Failed
PAY00019,O23224,Card,Pending
PAY00020,O08819,Card,Paid
PAY00021,O12402,Transfer,Paid
PAY00022,O19297,Transfer,Pending
PAY00023,O01709,Card,Pending
PAY00024,O14782,Card,Paid
PAY00025,O20343,Cash,Paid
PAY00026,O23083,Card,Paid
PAY00027,O25427,Transfer,Paid
PAY00029,O08397,Cash,Failed
PAY00030,O22781,Card,Failed
PAY00031,O20973,Card,Failed
PAY00032,O01789,Transfer,Failed
PAY00033,O04286,Cash,Pending
PAY00034,O23712,Cash,Pending
PAY00036,O11995,Transfer,Failed
PAY00037,O17253,Card,Paid
PAY00038,O26042,Card,Paid
PAY00039,O20389,Transfer,Failed
PAY00041,O24697,Transfer,Paid
PAY00043,O17871,Card,Failed
PAY00044,O10269,Card,Pending
PAY00046,O13155,Cash,Failed
PAY00047,O21707,Transfer,Paid
PAY00048,O20018,Transfer,Pending
PAY00049,O08358,Transfer,Paid
PAY00052,O17966,Card,Failed
PAY00053,O09910,Cash,Paid
PAY00054,O07532,Card,Pending
PAY00056,O24532,Cash,Pending
PAY00057,O15759,Cash,Paid
PAY00058,O21551,Transfer,Failed
PAY00059,O21302,Card,Pending
PAY00061,O02981,Transfer,Failed
PAY00062,O05149,Card,Paid
PAY00063,O00900,Cash,Failed
PAY00064,O06140,Transfer,Paid
PAY00065,O05044,Transfer,Pending
PAY00066,O11537,Transfer,Pending
PAY00067,O25035,Card,Failed
PAY00068,O23399,Card,Failed
PAY00069,O27150,Transfer,Paid
PAY00070,O28940,Transfer,Pending
PAY00072,O09003,Card,Failed
PAY00073,O16413,Transfer,Failed
PAY00074,O28546,Card,Paid
PAY00075,O17119,Card,Failed
PAY00077,O17619,Cash,Failed
PAY00078,O21947,Transfer,Paid
PAY00079,O09633,Transfer,Failed
PAY00080,O04117,Transfer,Paid
PAY00081,O07372,Cash,Pending
PAY00082,O11029,Transfer,Failed
PAY00083,O07145,Card,Failed
PAY00086,O13348,Cash,Failed
PAY00087,O07219,Card,Pending
PAY00088,O21914,Cash,Paid
PAY00089,O17597,Transfer,Paid
PAY00091,O10466,Cash,Paid
PAY00093,O15535,Card,Failed
PAY00094,O11944,Card,Pending
PAY00095,O10960,Card,Failed
PAY00097,O22119,Transfer,Paid
PAY00099,O08307,Cash,Pending
PAY00100,O14300,Card,Pending
PAY00101,O12596,Cash,Paid
PAY00102,O10266,Card,Failed
PAY00104,O07239,Cash,Failed
PAY00105,O08675,Transfer,Failed
PAY00106,O15009,Cash,Pending
PAY00107,O13778,Card,Pending
PAY00108,O26402,Cash,Paid
PAY00109,O12280,Transfer,Paid
PAY00111,O14904,Transfer,Failed
PAY00112,O23257,Transfer,Failed
PAY00113,O29610,Card,Paid
PAY00114,O19311,Cash,Failed
PAY00115,O19295,Transfer,Pending
PAY00117,O25701,Transfer,Failed
PAY00118,O16585,Cash,Failed
PAY00119,O26266,Cash,Failed
PAY00120,O26291,Card,Pending
PAY00121,O07593,Card,Paid
PAY00122,O01656,Card,Pending
PAY00124,O13869,Cash,Paid
PAY00125,O06283,Card,Paid
PAY00126,O15993,Transfer,Failed
PAY00129,O06714,Card,Pending
PAY00131,O21541,Cash,Failed
PAY00132,O13018,Transfer,Paid
PAY00134,O15058,Transfer,Pending
PAY00135,O09371,Transfer,Failed
PAY00136,O18487,Transfer,Pending
PAY00137,O06897,Card,Paid
PAY00138,O20067,Card,Failed
PAY00139,O02167,Cash,Failed
PAY00140,O16239,Cash,Failed
PAY00141,O28959,Transfer,Pending
PAY00142,O15528,Cash,Failed
PAY00144,O22908,Transfer,Paid
PAY00145,O15568,Card,Failed
PAY00147,O11110,Transfer,Failed
PAY00148,O25267,Transfer,Paid
PAY00150,O07405,Cash,Failed
PAY00151,O26295,Cash,Pending
PAY00152,O17496,Transfer,Failed
PAY00155,O11453,Card,Failed
PAY00156,O20383,Card,Pending
PAY00157,O16525,Cash,Pending
PAY00158,O27254,Card,Pending
PAY00159,O11281,Transfer,Paid
PAY00161,O29516,Cash,Paid
PAY00162,O10796,Card,Pending
PAY00163,O22383,Cash,Pending
PAY00164,O02364,Transfer,Failed
PAY00165,O17915,Card,Pending
PAY00166,O08207,Cash,Failed
PAY00167,O01867,Transfer,Pending
PAY00169,O20448,Cash,Paid
PAY00171,O15869,Transfer,Failed
PAY00172,O19635,Cash,Failed
PAY00173,O19296,Cash,Paid
PAY00174,O10151,Transfer,Failed
PAY00175,O29412,Transfer,Pending
PAY00176,O03365,Card,Pending
PAY00177,O28196,Card,Pending
PAY00178,O03101,Card,Pending
PAY00180,O01299,Cash,Pending
PAY00183,O11611,Transfer,Failed
PAY00184,O11308,Cash,Pending
PAY00185,O12673,Card,Failed
PAY00186,O07184,Card,Paid
PAY00187,O11353,Card,Pending
PAY00189,O06288,Card,Pending
PAY00190,O15687,Card,Failed
PAY00191,O15928,Transfer,Paid
PAY00192,O26734,Card,Pending
PAY00193,O27618,Cash,Paid
PAY00194,O29056,Card,Failed
PAY00196,O08109,Transfer,Pending
PAY00197,O12949,Cash,Paid
PAY00198,O12669,Cash,Pending
PAY00199,O06052,Card,Pending
PAY00200,O01515,Cash,Paid
PAY00201,O07157,Cash,Pending
PAY00202,O04720,Card,Paid
PAY00203,O09718,Transfer,Pending
PAY00204,O23298,Transfer,Failed
PAY00205,O16896,Cash,Pending
PAY00206,O10654,Transfer,Paid
PAY00207,O22904,Cash,Paid
PAY00208,O17046,Cash,Paid
PAY00209,O23550,Cash,Failed
PAY00211,O29516,Cash,Failed
PAY00212,O29210,Transfer,Pending
PAY00214,O01637,Card,Paid
PAY00215,O04158,Card,Failed
PAY00216,O26510,Transfer,Paid
PAY00217,O13792,Cash,Pending
PAY00221,O27899,Cash,Paid
PAY00222,O02214,Cash,Pending
PAY00223,O14059,Cash,Pending
PAY00225,O10687,Transfer,Pending
PAY00226,O09327,Cash,Pending
PAY00227,O25373,Transfer,Failed
PAY00228,O16881,Cash,Pending
PAY00230,O14186,Transfer,Paid
PAY00231,O01952,Card,Pending
PAY00232,O13134,Transfer,Failed
PAY00233,O22342,Transfer,Failed
PAY00234,O00173,Cash,Failed
PAY00235,O23281,Cash,Pending
PAY00236,O15896,Cash,Failed
PAY00237,O03384,Card,Paid
PAY00238,O24153,Card,Failed
PAY00239,O24195,Transfer,Pending
PAY00240,O19647,Card,Paid
PAY00241,O05093,Transfer,Failed
PAY00242,O26857,Card,Failed
PAY00243,O04183,Transfer,Pending
PAY00244,O21823,Transfer,Paid
PAY00245,O15103,Card,Failed
PAY00246,O20608,Card,Pending
PAY00247,O21653,Transfer,Paid
PAY00248,O03118,Card,Pending
PAY00249,O18616,Card,Paid
PAY00250,O11398,Transfer,Pending
PAY00251,O03162,Transfer,Paid
PAY00252,O19653,Card,Paid
PAY00253,O08431,Cash,Pending
PAY00254,O23190,Cash,Failed
PAY00255,O23898,Card,Pending
PAY00256,O18640,Transfer,Pending
PAY00257,O27124,Transfer,Paid
PAY00258,O22743,Transfer,Paid
PAY00259,O16838,Card,Paid
PAY00260,O17767,Transfer,Failed
