Payment_ID,Order_ID,Payment_Method,Payment_Status
PAY00000,O12564,Card,Pending
PAY00001,O22447,Card,Pending
PAY00002,O25476,Cash,Failed
PAY00003,O27856,Card,Failed
PAY00004,O19202,Cash,Paid
PAY00005,O28604,Card,Paid
PAY00006,O08067,Transfer,Pending
PAY00007,O29331,Cash,Failed
PAY00008,O21747,Cash,Paid
PAY00009,O19202,Card,Paid
PAY00010,O29129,Card,Paid
PAY00011,O06578,Transfer,Failed
PAY00012,O11529,Transfer,Pending
PAY00013,O13573,Card,Paid
PAY00014,O16992,Card,Failed
PAY00015,O14694,Card,Failed
PAY00016,O17338,Card,Paid
PAY00017,O15712,Card,Failed
PAY00018,O29502,Cash,Failed
PAY00019,O23224,Card,Pending
PAY00020,O08819,Card,Paid
PAY00021,O12402,Transfer,Paid
PAY00022,O19297,Transfer,Pending
PAY00023,O01709,Card,Pending
PAY00024,O14782,Card,Paid
PAY00025,O20343,Cash,Paid
PAY00026,O23083,Card,Paid
PAY00027,O25427,Transfer,Paid
PAY00028,O04734,Transfer,Pending
PAY00029,O08397,Cash,Failed
PAY00030,O22781,Card,Failed
PAY00031,O20973,Card,Failed
PAY00032,O01789,Transfer,Failed
PAY00033,O04286,Cash,Pending
PAY00034,O23712,Cash,Pending
PAY00035,O18961,Transfer,Paid
PAY00036,O11995,Transfer,Failed
PAY00037,O17253,Card,Paid
PAY00038,O26042,Card,Paid
PAY00039,O20389,Transfer,Failed
PAY00040,O06492,Card,Pending
PAY00041,O24697,Transfer,Paid
PAY00042,O25520,Transfer,Paid
PAY00043,O17871,Card,Failed
PAY00044,O10269,Card,Pending
PAY00045,O12637,Cash,Pending
PAY00046,O13155,Cash,Failed
PAY00047,O21707,Transfer,Paid
PAY00048,O20018,Transfer,Pending
PAY00049,O08358,Transfer,Paid
PAY00050,O27035,Card,Failed
PAY00051,O12756,Card,Pending
PAY00052,O17966,Card,Failed
PAY00053,O09910,Cash,Paid
PAY00054,O07532,Card,Pending
PAY00055,O23191,Transfer,Pending
PAY00056,O24532,Cash,Pending
PAY00057,O15759,Cash,Paid
PAY00058,O21551,Transfer,Failed
PAY00059,O21302,Card,Pending
PAY00060,O20579,Cash,Paid
PAY00061,O02981,Transfer,Failed
PAY00062,O05149,Card,Paid
PAY00063,O00900,Cash,Failed
PAY00064,O06140,Transfer,Paid
PAY00065,O05044,Transfer,Pending
PAY00066,O11537,Transfer,Pending
PAY00067,O25035,Card,Failed
PAY00068,O23399,Card,Failed
PAY00069,O27150,Transfer,Paid
PAY00070,O28940,Transfer,Pending
PAY00071,O16757,Cash,Pending
PAY00072,O09003,Card,Failed
PAY00073,O16413,Transfer,Failed
PAY00074,O28546,Card,Paid
PAY00075,O17119,Card,Failed
PAY00076,O01797,Cash,Failed
PAY00077,O17619,Cash,Failed
PAY00078,O21947,Transfer,Paid
PAY00079,O09633,Transfer,Failed
PAY00080,O04117,Transfer,Paid
PAY00081,O07372,Cash,Pending
PAY00082,O11029,Transfer,Failed
PAY00083,O07145,Card,Failed
PAY00084,O08126,Cash,Pending
PAY00085,O23738,Transfer,Pending
PAY00086,O13348,Cash,Failed
PAY00087,O07219,Card,Pending
